id,code,name,city,state,country
7069,RAO,"Leite Lopes Airport","Ribeirão Preto","São Paulo",Brazil
7070,SDV,"Sde Dov Airport","Tel Aviv",,Israel
7071,STU,"Santa Cruz Airport","Santa Cruz",,Belize
7072,TNO,"Tamarindo Airport",Tamarindo,,"Costa Rica"
7073,VCV,"Southern California Logistics Airport",Victorville,California,"United States"
7074,XDA,"Dax - Seyresse Airport",Dax,,France
7075,YKF,"Region of Waterloo International Airport","Waterloo Regional Municipality",Ontario,Canada
7076,YYI,"Rivers Airport",Rivers,Manitoba,Canada
7077,ZLY,"Albany–Rensselaer (Amtrak Station)",Rensselaer,"New York","United States"
7078,ALQ,"Alegrete Airport",Alegrete,"Rio Grande do Sul",Brazil
7079,AYA,"Ayapel Airport",Ayapel,,Colombia
7080,BJD,"Bakkafjörður Airport",Bakkafjörður,,Iceland
7081,BUI,"Bokondini Airport",Bokondini,,Indonesia
7082,CGA,"Craig Seaplane Base",Craig,Alaska,"United States"
7083,CSC,"Canas Airport",Canas,,"Costa Rica"
7084,DJG,"Tiska Airport",Djanet,,Algeria
7085,EKD,"Elkedra Airport",Elkedra,"Northern Territory",Australia
7086,FLB,"Cangapara Airport",Floriano,Piauí,Brazil
7087,GJM,"Guajara-Mirim Airport",Guajara-Mirim,Rondônia,Brazil
7088,HCN,"Hengchun Airport",Hengchun,,Taiwan
7089,HYL,"Hollis Seaplane Base",Hollis,Alaska,"United States"
7090,IXP,"Pathankot Airport",Pathankot,,India
7091,KBL,"Kabul International Airport",Kabul,,Afghanistan
7092,KNU,"Kanpur Airport",Kanpur,"Uttar Pradesh",India
7093,LBX,"Lubang Airport",Lubang,"Occidental Mindoro",Philippines
7094,LPO,"La Porte Municipal Airport","La Porte",Indiana,"United States"
7095,MDT,"Harrisburg International Airport",Harrisburg,Pennsylvania,"United States"
7096,MOT,"Minot International Airport",Minot,"North Dakota","United States"
7097,MZV,"Mulu Airport",Mulu,Sarawak,Malaysia
7098,OLH,"Old Harbor Airport","Old Harbor",Alaska,"United States"
7099,PLR,"St.Clair County Airport","Pell City",Alabama,"United States"
7100,RAP,"Rapid City Regional Airport","Rapid City","South Dakota","United States"
7101,SDX,"Sedona Airport",Sedona,Arizona,"United States"
7102,STV,"Surat Airport",Surat,Gujarat,India
7103,TNP,"Twentynine Palms Airport","Twentynine Palms",California,"United States"
7104,VDA,"Ovda International Airport",Ovda,,Israel
7105,XDE,"Diebougou Airport",Diebougou,,"Burkina Faso"
7106,YKG,"Kangirsuk Airport",Kangirsuk,Quebec,Canada
7107,YYJ,"Victoria International Airport",Victoria,"British Columbia",Canada
7108,ZMB,"Hamburg Hauptbahnhof",Hamburg,,Germany
7109,ALR,"Alexandra Airport",Alexandra,,"New Zealand"
7110,AYC,"Ayacucho Airport",Ayacucho,,Peru
7111,BJF,"Båtsfjord Airport",Båtsfjord,Finnmark,Norway
7112,BUJ,"Bou Saada Airport","Bou Saada",M'Sila,Algeria
7113,CGB,"Marechal Rondon Airport",Cuiabá,"Mato Grosso",Brazil
7114,CSD,"Cresswell Downs Airport","Cresswell Downs","Northern Territory",Australia
7115,DJJ,"Sentani Airport",Jayapura,,Indonesia
7116,EKE,"Ekereku Airport",Ekereku,,Guyana
7117,FLC,"Falls Creek Airport","Falls Creek",Victoria,Australia
7118,GJR,"Gjögur Airport",Gjögur,,Iceland
7119,HYN,"Taizhou Luqiao Airport",Taizhou,Zhejiang,China
7120,IXQ,"Kamalpur Airport",Kamalpur,,India
7121,KBM,"Kabwum Airport",Kabwum,,"Papua New Guinea"
7122,KNW,"New Stuyahok Airport","New Stuyahok",Alaska,"United States"
7123,LBY,"La Baule-Escoublac Airport (Montoir Airport)","La Baule-Escoublac",,France
7124,LPP,"Lappeenranta Airport",Lappeenranta,,Finland
7125,MDU,"Mendi Airport",Mendi,,"Papua New Guinea"
7126,MOU,"Mountain Village Airport","Mountain Village",Alaska,"United States"
7127,MZW,"Mecheria Airport",Mecheria,,Algeria
7128,OLK,"Fuerte Olimpo Airport","Fuerte Olimpo",,Paraguay
7129,PLS,"Providenciales International Airport",Providenciales,,"Turks and Caicos Islands"
7130,RAR,"Rarotonga International Airport",Avarua,,"Cook Islands"
7131,SDY,"Sidney-Richland Municipal Airport",Sidney,Montana,"United States"
7132,STW,"Stavropol Shpakovskoye Airport",Stavropol,,Russia
7133,TNQ,"Teraina Airport",Teraina,,Kiribati
7134,VDB,"Fagernes Airport, Leirin",Fagernes,,Norway
7135,XDJ,"Djibo Airport",Djibo,,"Burkina Faso"
7136,YKK,"Kitkatla Water Aerodrome",Kitkatla,"British Columbia",Canada
7137,YYL,"Lynn Lake Airport","Lynn Lake",Manitoba,Canada
7138,ZMI,"Mergellina Railway Station",Naples,,Italy
7139,ALS,"San Luis Valley Regional Airport",Alamosa,Colorado,"United States"
7140,AYD,"Alroy Downs Airport","Alroy Downs","Northern Territory",Australia
7141,BJG,"Bolaang Airport",Bolaang,,Indonesia
7142,BUK,"Albuq Airport",Albuq,,Yemen
7143,CGC,"Cape Gloucester Airport","Cape Gloucester",,"Papua New Guinea"
7144,CSE,"Buckhorn Ranch Airport","Crested Butte",Colorado,"United States"
7145,DJM,"Djambala Airport",Djambala,,"Republic of Congo"
7146,EKI,"Elkhart Municipal Airport",Elkhart,Indiana,"United States"
7147,FLD,"Fond du Lac County Airport","Fond du Lac",Wisconsin,"United States"
7148,HCQ,"Halls Creek Airport","Halls Creek","Western Australia",Australia
7149,HYR,"Sawyer County Airport",Hayward,Wisconsin,"United States"
7150,IXR,"Birsa Munda Airport (Ranchi Airport)",Ranchi,,India
7151,KBN,"Tunta Airport",Kabinda,,"Democratic Republic of the Congo"
7152,KNX,"Kununurra Airport",Kununurra,"Western Australia",Australia
7153,LBZ,"Lukapa Airport",Lukapa,,Angola
7154,LPQ,"Luang Prabang International Airport","Luang Prabang",,Laos
7155,MDV,"Médouneu Airport",Médouneu,,Gabon
7156,MOV,"Moranbah Airport",Moranbah,Queensland,Australia
7157,MZX,"Mena Airport",Mena,,Ethiopia
7158,OLL,"Oyo Ollombo Airport",Oyo,"Republic of the Congo","Republic of the Congo"
7159,PLU,"Pampulha Domestic Airport","Belo Horizonte",,Brazil
7160,RAT,"Raduzhny Airport",Raduzhny,"Khanty - Mansi Autonomous Okrug",Russia
7161,SEA,"Seattle–Tacoma International Airport",SeaTac,Washington,"United States"
7162,STX,"Henry E. Rohlsen Airport",Christiansted,"Saint Croix","United States Virgin Islands"
7163,TNR,"Ivato Airport",Antananarivo,,Madagascar
7164,VDC,"Vitória da Conquista Airport","Vitória da Conquista",,Brazil
7165,XDK,"Dunkerque - Les Moëres Airport",Dunkerque,,France
7166,YKL,"Schefferville Airport",Schefferville,Quebec,Canada
7167,YYM,"Cowley Airport",Cowley,Alberta,Canada
7168,ZMS,"Firenze Santa Maria Novella Railway Station",Florence,,Italy
7169,ALT,"Alenquer Airport",Alenquer,Pará,Brazil
7170,AYE,"Moore Army Airfield (Fort Devens)",Leominster,Massachusetts,"United States"
7171,BJH,"Bajhang Airport",Bajhang,,Nepal
7172,BUL,"Bulolo Airport",Bulolo,,"Papua New Guinea"
7173,CGD,"Changde Airport",Changde,Hunan,China
7174,CSF,"Creil Air Base",Creil,,France
7175,DJN,"Delta Junction Airport","Delta Junction",Alaska,"United States"
7176,EKN,"Elkins-Randolph Co.-Jennings Randolph Field",Elkins,"West Virginia","United States"
7177,FLE,"Fort Lee Army Airfield","Fort Lee",Virginia,"United States"
7178,GKA,"Goroka Airport",Goroka,,"Papua New Guinea"
7179,HCR,"Holy Cross Airport","Holy Cross",Alaska,"United States"
7180,HYS,"Hays Regional Airport",Hays,Kansas,"United States"
7181,IXS,"Silchar Airport (Kumbhirgram Airport)",Silchar,,India
7182,KBO,"Kabalo Airport",Kabalo,,"Democratic Republic of the Congo"
7183,KNZ,"Kéniéba Airport",Kéniéba,,Mali
7184,LCA,"Larnaca International Airport",Larnaca,,Cyprus
7185,LPR,"Lorain County Regional Airport","Lorain / Elyria",Ohio,"United States"
7186,MDW,"Midway International Airport",Chicago,,"United States"
7187,MOW,"ALL Airports",Moscow,,Russia
7188,MZY,"Mossel Bay Airport","Mossel Bay",,"South Africa"
7189,OLM,"Olympia Airport",Olympia,Washington,"United States"
7190,PLX,"Semey Airport",Semey,,Kazakhstan
7191,RBA,"Sale Airport",Rabat,,Morocco
7192,SEE,"Gillespie Field","San Diego / El Cajon",California,"United States"
7193,STY,"Nueva Hespérides International Airport",Salto,Salto,Uruguay
7194,TNT,"Dade-Collier Training and Transition Airport",Miami,Florida,"United States"
7195,VDI,"Vidalia Regional Airport",Vidalia,Georgia,"United States"
7196,XEN,"Xingcheng Airport",Xingcheng,Liaoning,China
7197,YKM,"Yakima Air Terminal (McAllister Field)",Yakima,Washington,"United States"
7198,YYN,"Swift Current Airport","Swift Current",Saskatchewan,Canada
7199,ZMU,"München Hauptbahnhof",Munich,,Germany
7200,ALU,"Alula Airport",Alula,,Somalia
7201,AYG,"Yaguara Airport",Yaguara,,Colombia
7202,BJI,"Bemidji Regional Airport",Bemidji,Minnesota,"United States"
7203,BUM,"Butler Memorial Airport",Butler,Missouri,"United States"
7204,CGE,"Cambridge–Dorchester Airport",Cambridge,Maryland,"United States"
7205,CSG,"Columbus Airport",Columbus,Georgia,"United States"
7206,DJO,"Daloa Airport",Daloa,,"Côte d'Ivoire (Ivory Coast)"
7207,EKO,"Elko Regional Airport",Elko,Nevada,"United States"
7208,FLF,"Schäferhaus Airport",Flensburg,Schleswig-Holstein,Germany
7209,GKD,"Gökçeada Airport",Gökçeada,,Turkey
7210,HDB,"Heidelberg Airport",Heidelberg,Baden-Württemberg,Germany
7211,HYV,"Hyvinkää Airport",Hyvinkää,,Finland
7212,IXT,"Pasighat Airport (Passighat Airport)","Pasighat (Passighat)",,India
7213,KBP,"Boryspil International Airport",Kiev,,Ukraine
7214,KOA,"Kona International Airport","Kailua / Kona",Hawaii,"United States"
7215,LCB,"Pontes e Lacerda Airport","Pontes e Lacerda","Mato Grosso",Brazil
7216,LPS,"Fishermans Bay/LPS Seaplane Base","Lopez Island",Washington,"United States"
7217,MDX,"Mercedes Airport",Mercedes,Corrientes,Argentina
7218,MOX,"Morris Municipal Airport",Morris,Minnesota,"United States"
7219,MZZ,"Marion Municipal Airport",Marion,Indiana,"United States"
7220,OLO,"Olomouc Airport",Olomouc,,"Czech Republic"
7221,PLY,"Plymouth Municipal Airport",Plymouth,Indiana,"United States"
7222,RBB,"Borba Airport",Borba,Amazonas,Brazil
7223,SEF,"Sebring Regional Airport",Sebring,Florida,"United States"
7224,SUA,"Witham Field",Stuart,Florida,"United States"
7225,TNU,"Newton Municipal Airport",Newton,Iowa,"United States"
7226,VDM,"Gobernador Edgardo Castello Airport",Viedma,,Argentina
7227,XEP,"Épernay - Plivot Airport",Épernay,,France
7228,YKN,"Chan Gurney Municipal Airport",Yankton,"South Dakota","United States"
7229,YYQ,"Churchill Airport",Churchill,Manitoba,Canada
7230,ZPY,"Siegburg/Bonn Railway Station",Siegburg,,Germany
7231,ALV,"Andorra La Vella Airport","Andorra la Vella",,Andorra
7232,AYH,"RAF Alconbury",Alconbury,England,"United Kingdom"
7233,BJJ,"Wayne County Airport",Wooster,Ohio,"United States"
7234,BUN,"Gerardo Tobar López Airport",Buenaventura,"Valle del Cauca",Colombia
7235,CGF,"Cuyahoga County Airport",Cleveland,Ohio,"United States"
7236,CSH,"Solovki Airport","Solovetsky Islands",,Russia
7237,DJR,"Dajarra Airport",Dajarra,Queensland,Australia
7238,EKT,"Eskilstuna Airport",Eskilstuna,,Sweden
7239,FLG,"Flagstaff Pulliam Airport",Flagstaff,Arizona,"United States"
7240,GKE,"NATO Air Base Geilenkirchen",Geilenkirchen,"North Rhine-Westphalia",Germany
7241,HDD,"Hyderabad Airport",Hyderabad,,Pakistan
7242,HZB,"Merville - Calonne Airport","Merville / Calonne",,France
7243,IXU,"Aurangabad Airport (Chikkalthana Airport)",Aurangabad,Maharashtra,India
7244,KBQ,"Kasungu Airport",Kasungu,,Malawi
7245,KOB,"Foumban Airport (Koutaba Airport)",Koutaba,,Cameroon
7246,LCC,"Lecce Galatina Airport",Lecce,,Italy
7247,LPT,"Lampang Airport",Lampang,,Thailand
7248,MDY,"Henderson Field","Sand Island","Midway Atoll","United States"
7249,MOY,"Monterrey Airport",Monterrey,,Colombia
7250,NAE,"Natitingou Airport",Natitingou,,Benin
7251,OLS,"Nogales International Airport",Nogales,Arizona,"United States"
7252,PLZ,"PORT Elizabeth Airport","PORT Elizabeth",,"South Africa"
7253,RBC,"Robinvale Airport",Robinvale,Victoria,Australia
7254,SEG,"Penn Valley Airport",Selinsgrove,Pennsylvania,"United States"
7255,SUB,"Juanda International Airport",Surabaya,,Indonesia
7256,TOA,"Zamperini Field",Torrance,California,"United States"
7257,VDP,"Valle de la Pascua Airport","Valle de la Pascua",Guárico,Venezuela
7258,XEQ,"Tasiusaq Heliport (Kujalleq)",Tasiusaq,Kujalleq,Greenland
7259,YKQ,"Waskaganish Airport",Waskaganish,Quebec,Canada
7260,YYR,"CFB Goose Bay / Goose Bay Airport","Goose Bay",Labrador,Canada
7261,ZRB,"Frankfurt (Main) Hauptbahnhof",Frankfurt,,Germany
7262,ALW,"Walla Walla Regional Airport","Walla Walla",Washington,"United States"
7263,AYI,"Yari Airport",Yari,,Colombia
7264,BJK,"Nangasuri Airport",Benjina,Muluku,Indonesia
7265,BUO,"Burao Airport",Burao,,Somalia
7266,CGG,"Casiguran Airport",Casiguran,Aurora,Philippines
7267,CSI,"Casino Airport",Casino,"New South Wales",Australia
7268,DJU,"Djúpivogur Airport",Djúpivogur,,Iceland
7269,FLH,"Flotta Isle Airport","Flotta Isle",Scotland,"United Kingdom"
7270,GKH,"Gorkha Airport",Gorkha,,Nepal
7271,HDE,"Brewster Field",Holdrege,Nebraska,"United States"
7272,HZG,"Hanzhong Airport",Hanzhong,Shaanxi,China
7273,IXV,"Along Airport",Along,"Arunachal Pradesh",India
7274,KBR,"Sultan Ismail Petra Airport","Kota Bharu",Kelantan,Malaysia
7275,KOC,"Koumac Airport",Koumac,,"New Caledonia"
7276,LCD,"Louis Trichardt Airport","Louis Trichardt",,"South Africa"
7277,LPU,"Long Apung Airport","Long Apung",,Indonesia
7278,MOZ,"Moorea Airport (Temae Airport)",Moorea,"Windward Islands","French Polynesia"
7279,NAG,"Dr.Babasaheb Ambedkar International Airport",Nagpur,,India
7280,OLU,"Columbus Municipal Airport (Nebraska)",Columbus,Nebraska,"United States"
7281,PMB,"Pembina Municipal Airport",Pembina,"North Dakota","United States"
7282,RBD,"Dallas Executive Airport",Dallas,Texas,"United States"
7283,SEH,"Senggeh Airport",Senggeh,,Indonesia
7284,SUD,"Stroud Municipal Airport",Stroud,Oklahoma,"United States"
7285,TOB,"Gamal Abdel Nasser Airport",Tobruk,,Libya
7286,VDR,"Villa Dolores Airport","Villa Dolores",Córdoba,Argentina
7287,XES,"Grand Geneva Resort Airport","Lake Geneva",Wisconsin,"United States"
7288,YKS,"Yakutsk Airport",Yakutsk,"Sakha (Yakutia) Republic",Russia
7289,YYT,"St. John's International Airport","St. John's","Newfoundland and Labrador",Canada
7290,ZRL,"Lancaster (Amtrak Station)",Lancaster,Pennsylvania,"United States"
7291,ALX,"Thomas C. Russell Field","Alexander City",Alabama,"United States"
7292,AYK,"Arkalyk Airport",Arkalyk,,Kazakhstan
7293,BJL,"Banjul International Airport",Banjul,,Gambia
7294,BUP,"Bhisiana Air Force Base",Bhatinda,,India
7295,CGH,"Congonhas/São Paulo National Airport","São Paulo",,Brazil
7296,CSJ,"Cape St. Jacques Airport","Cape St. Jacques",,Vietnam
7297,DKI,"Dunk Island Airport","Dunk Island",Queensland,Australia
7298,ELA,"Eagle Lake Airport","Eagle Lake",Texas,"United States"
7299,FLI,"Flateyri Airport",Flateyri,,Iceland
7300,GKL,"Great Keppel Island Airport","Great Keppel Island",Queensland,Australia
7301,HDF,"Heringsdorf Airport",Heringsdorf,Mecklenburg-Vorpommern,Germany
7302,HZH,"Liping Airport","Liping County",Guizhou,China
7303,IXW,"Sonari Airport",Jamshedpur,,India
7304,KBS,"Bo Airport",Bo,,"Sierra Leone"
7305,KOD,"Kotabangun Airport",Kotabangun,,Indonesia
7306,LCE,"Golosón International Airport","La Ceiba",,Honduras
7307,LPX,"Liep?ja International Airport",Liep?ja,,Latvia
7308,MEA,"Macaé Airport",Macaé,"Rio de Janeiro",Brazil
7309,MPA,"Katima Mulilo Airport (Mpacha Airport)","Katima Mulilo",,Namibia
7310,NAH,"Naha Airport",Tahuna,,Indonesia
7311,OLV,"Olive Branch Airport","Olive Branch",Mississippi,"United States"
7312,PMC,"El Tepual Airport","Puerto Montt",,Chile
7313,RBE,"Ratanakiri Airport",Ratanakiri,,Cambodia
7314,SEK,"Srednekolymsk Airport",Srednekolymsk,"Sakha Republic",Russia
7315,SUE,"Door County Cherryland Airport","Sturgeon Bay",Wisconsin,"United States"
7316,TOC,"Toccoa Airport (R.G. LeTourneau Field)",Toccoa,Georgia,"United States"
7317,VDS,"Vadsø Airport",Vadsø,Finnmark,Norway
7318,XFN,"Xiangfan Airport",Xiangfan,Hubei,China
7319,YKT,"Klemtu Airport",Klemtu,"British Columbia",Canada
7320,YYU,"Kapuskasing Airport",Kapuskasing,Ontario,Canada
7321,ZRP,"Pennsylvania Station",Newark,"New Jersey","United States"
7322,ALY,"Alexandria International Airport",Alexandria,,Egypt
7323,AYL,"Anthony Lagoon Airport","Anthony Lagoon","Northern Territory",Australia
7324,BJM,"Bujumbura International Airport",Bujumbura,,Burundi
7325,BUQ,"Joshua Mqabuko Nkomo International Airport",Bulawayo,,Zimbabwe
7326,CGI,"Cape Girardeau Regional Airport","Cape Girardeau",Missouri,"United States"
7327,CSK,"Cap Skirring Airport","Cap Skirring",,Senegal
7328,DKK,"Chautauqua County/Dunkirk Airport",Dunkirk,"New York","United States"
7329,ELB,"Las Flores Airport","El Banco",,Colombia
7330,GKN,"Gulkana Airport",Gulkana,Alaska,"United States"
7331,HDG,"Handan Airport",Handan,Hebei,China
7332,HZK,"Húsavík Airport",Húsavík,,Iceland
7333,IXY,"Kandla Airport (Gandhidham Airport)","Gandhidham / Kandla",,India
7334,KBT,"Kaben Airport","Maloelap Atoll",,"Marshall Islands"
7335,KOE,"El Tari Airport",Kupang,"East Nusa Tenggara",Indonesia
7336,LCF,"Río Dulce Airport (Las Vegas Airport)","Río Dulce",Izabal,Guatemala
7337,LPY,"Loudes Airport","Le Puy-en-Velay / Loudes",Haute-Loire,France
7338,MEB,"Essendon Airport",Melbourne,Victoria,Australia
7339,MPB,"Miami Seaplane Base","Watson Island","Miami - Dade County","United States"
7340,NAI,"Annai Airport",Annai,,Guyana
7341,OLY,"Olney-Noble Airport","Olney - Noble",Illinois,"United States"
7342,PMD,"LA / Palmdale Regional Airport",Palmdale,California,"United States"
7343,RBG,"Roseburg Regional Airport",Roseburg,Oregon,"United States"
7344,SEL,"ALL Airports",Seoul,,"South Korea"
7345,SUF,"Lamezia Terme International Airport","Lamezia Terme",,Italy
7346,TOD,"Tioman Airport","Tioman Island",,Malaysia
7347,VDZ,"Valdez Airport (Pioneer Field)",Valdez,Alaska,"United States"
7348,XFW,"Hamburg Finkenwerder Airport",Hamburg,,Germany
7349,YKU,"Chisasibi Airport",Chisasibi,Quebec,Canada
7350,YYW,"Armstrong Airport",Armstrong,"Thunder Bay District",Canada
7351,ZRT,"Hartford Union Station",Hartford,Connecticut,"United States"
7352,ALZ,"Alitak Seaplane Base","Lazy Bay",Alaska,"United States"
7353,AYN,"Anyang Airport",Anyang,Henan,China
7354,BJN,"Bajone Airport",Bajone,,Mozambique
7355,BUR,"Bob Hope Airport",Burbank,California,"United States"
7356,CGJ,"Chingola Airport",Chingola,,Zambia
7357,CSL,"O'Sullivan Army Heliport","Camp San Luis Obispo",California,"United States"
7358,DKR,"Léopold Sédar Senghor International Airport",Dakar,,Senegal
7359,ELC,"Elcho Island Airport","Elcho Island","Northern Territory",Australia
7360,FLM,"Fernheim Airport (Filadelfia Airport)",Filadelfia,,Paraguay
7361,GKO,"Kongoboumba Airport",Kongoboumba,,Gabon
7362,HDH,"Dillingham Airfield",Mokuleia,Hawaii,"United States"
7363,HZL,"Hazleton Municipal Airport",Hazleton,Pennsylvania,"United States"
7364,IXZ,"Vir Savarkar Airport (Port Blair Airport)","Port Blair",,India
7365,KBU,"Stagen Airport",Kotabaru,Kalimantan,Indonesia
7366,KOF,"Komatipoort Airport",Komatipoort,,"South Africa"
7367,LCG,"A Coruña Airport","A Coruña",,Spain
7368,LQK,"Pickens County Airport",Pickens,"South Carolina","United States"
7369,MEC,"Eloy Alfaro International Airport",Manta,Manabí,Ecuador
7370,MPC,"Muko-Muko Airport",Muko-Muko,,Indonesia
7371,NAK,"Nakhon Ratchasima Airport","Nakhon Ratchasima",,Thailand
7372,OLZ,"Olyokminsk Airport",Olyokminsk,"Sakha Republic",Russia
7373,PMF,"Parma Giuseppe Verdi Airport",Parma,,Italy
7374,RBL,"Red Bluff Municipal Airport","Red Bluff",California,"United States"
7375,SEM,"Craig Field",Selma,Alabama,"United States"
7376,SUG,"Surigao Airport","Surigao City","Surigao del Norte",Philippines
7377,VEE,"Venetie Airport",Venetie,Alaska,"United States"
7378,XGA,"Gaoua Airport",Gaoua,,"Burkina Faso"
7379,YKX,"Kirkland Lake Airport","Kirkland Lake",Ontario,Canada
7380,YYY,"Mont-Joli Airport",Mont-Joli,Quebec,Canada
7381,ZRV,"Providence Station",Providence,"Rhode Island","United States"
7382,AMA,"Rick Husband Amarillo International Airport",Amarillo,Texas,"United States"
7383,AYO,"Juan De Ayolas Airport",Ayolas,,Paraguay
7384,BJO,"Bermejo Airport",Bermejo,,Bolivia
7385,BUS,"Batumi Airport (Chorokh Airport)",Batumi,,Georgia
7386,CGK,"Soekarno–Hatta International Airport",Jakarta,,Indonesia
7387,CSM,"Clinton-Sherman Airport",Clinton,Oklahoma,"United States"
7388,DKS,"Dikson Airport",Dikson,,Russia
7389,FLN,"Hercílio Luz International Airport",Florianópolis,"Santa Catarina",Brazil
7390,GKT,"Gatlinburg-Pigeon Forge Airport",Sevierville,Tennessee,"United States"
7391,HDM,"Hamadan Airport",Hamadan,,Iran
7392,HZR,"False River Regional Airport","New Roads",Louisiana,"United States"
7393,IYK,"Inyokern Airport",Inyokern,California,"United States"
7394,KBV,"Krabi Airport",Krabi,,Thailand
7395,KOG,"Khong Airport",Khong,,Laos
7396,LCH,"Lake Charles Regional Airport","Lake Charles",Louisiana,"United States"
7397,LQM,"Caucayá Airport","Puerto Leguizamo",,Colombia
7398,MED,"Prince Mohammad Bin Abdulaziz Airport",Medina,,"Saudi Arabia"
7399,NAL,"Nalchik Airport",Nalchik,"Kabardino - Balkaria",Russia
7400,OMA,"Eppley Airfield",Omaha,Nebraska,"United States"
7401,PMG,"Ponta Porã International Airport","Ponta Porã","Mato Grosso DO Sul",Brazil
7402,RBM,"Straubing Wallmuhle Airport",Straubing,Bavaria,Germany
7403,SEN,"London Southend Airport",Southend,,"Essex United Kingdom"
7404,SUI,"Sukhumi Dranda Airport",Sukhumi,,Georgia
7405,TOF,"Bogashevo Airport",Tomsk,,Russia
7406,VEL,"Vernal Airport",Vernal,Utah,"United States"
7407,XGG,"Gorom Gorom Airport","Gorom Gorom",,"Burkina Faso"
7408,YKY,"Kindersley Airport",Kindersley,Saskatchewan,Canada
7409,YYZ,"Toronto Pearson International Airport",Mississauga,Ontario,Canada
7410,ZRZ,"New Carrollton (WMATA Station)","New Carrollton",Maryland,"United States"
7411,AMB,"Ambilobe Airport",Ambilobe,,Madagascar
7412,AYP,"Coronel FAP Alfredo Mendivil Duarte Airport",Ayacucho,,Peru
7413,BJR,"Bahar Dar Airport","Bahar Dar",,Ethiopia
7414,BUT,"Bathpalathang Airport",Jakar,Bumthang,Bhutan
7415,CGM,"Camiguin Airport",Mambajao,Camiguin,Philippines
7416,CSN,"Carson Airport","Carson City",Nevada,"United States"
7417,DKV,"Docker River Airport","Docker River","Northern Territory",Australia
7418,ELE,"El Real Airport","El Real",,Panama
7419,FLO,"Florence Regional Airport",Florence,"South Carolina","United States"
7420,GLA,"Glasgow International Airport",Glasgow,Scotland,"United Kingdom"
7421,HDN,"Yampa Valley Airport",Hayden,Colorado,"United States"
7422,HZV,"Hazyview Airport",Hazyview,,"South Africa"
7423,IZA,"Zona da Mata Regional Airport","Juiz de Fora",,Brazil
7424,KBW,"Chignik Bay Seaplane Base",Chignik,Alaska,"United States"
7425,KOH,"Koolatah Airport",Koolatah,Queensland,Australia
7426,LCI,"Laconia Municipal Airport",Laconia,"New Hampshire","United States"
7427,LQN,"Qala i Naw Airport","Qala i Naw",,Afghanistan
7428,MEE,"Maré Airport",Maré,"Loyalty Islands","New Caledonia"
7429,MPF,"Mapoda Airport",Mapoda,,"Papua New Guinea"
7430,NAN,"Nadi International Airport",Nadi,,Fiji
7431,OMC,"Ormoc Airport","Ormoc City",,Philippines
7432,PMH,"Greater Portsmouth Regional Airport",Portsmouth,Ohio,"United States"
7433,RBQ,"Rurrenabaque Airport",Rurrenabaque,,Bolivia
7434,SEP,"Clark Field Municipal Airport",Stephenville,Texas,"United States"
7435,SUJ,"Satu Mare International Airport","Satu Mare",,Romania
7436,TOG,"Togiak Airport","Togiak Village",Alaska,"United States"
7437,VER,"General Heriberto Jara International Airport",Veracruz,Veracruz,Mexico
7438,XGL,"Granville Lake Airport","Granville Lake",Manitoba,Canada
7439,YKZ,"Toronto/Buttonville Municipal Airport",Buttonville,Ontario,Canada
7440,YZA,"Ashcroft Airport",Ashcroft,"British Columbia",Canada
7441,ZSB,"Salzburg Hauptbahnhof ÖBB Station",Salzburg,,Austria
7442,AMC,"Am Timan Airport","Am Timan",,Chad
7443,AYQ,"Ayers Rock Airport",Yulara,"Northern Territory",Australia
7444,BJS,"All Airports",Beijing,,China
7445,BUU,"Buyo Airport",Buyo,,"Côte d'Ivoire"
7446,CSO,"Magdeburg–Cochstedt Airport",Magdeburg,,Germany
7447,DLA,"Douala Airport",Douala,,Cameroon
7448,ELF,"El Fasher Airport","El Fasher",,Sudan
7449,FLP,"Marion County Regional Airport",Flippin,Arkansas,"United States"
7450,GLC,"Geladi Airport",Geladi,,Ethiopia
7451,HDO,"Hondo Municipal Airport (former Hondo AAF)",Hondo,Texas,"United States"
7452,IAA,"Igarka Airport",Igarka,,Russia
7453,IZO,"Izumo Airport",Izumo,Shimane,Japão
7454,KBX,"Kambuaya Airport",Kambuaya,,Indonesia
7455,KOI,"Kirkwall Airport",Kirkwall,"Orkney Islands","United Kingdom"
7456,LCJ,"?ód? W?adys?aw Reymont Airport",?ód?,,Poland
7457,LQR,"Larned-Pawnee County Airport",Larned,Kansas,"United States"
7458,MEF,"Melfi Airport",Melfi,,Chad
7459,MPG,"Makini Airport",Makini,,"Papua New Guinea"
7460,NAO,"Nanchong Airport",Nanchong,Sichuan,China
7461,OME,"Nome Airport",Nome,Alaska,"United States"
7462,SEQ,"Sungai Pakning Bengkalis Airport","Sungai Pakning Bengkalis",,Indonesia
7463,SUK,"Sakkyryr Airport",Batagay-Alyta,"Sakha Republic",Russia
7464,TOI,"Troy Municipal Airport",Troy,Alabama,"United States"
7465,VEY,"Vestmannaeyjar Airport",Vestmannaeyjar,,Iceland
7466,XGN,"Xangongo Airport",Xangongo,,Angola
7467,YLA,"Langara Airport","Langara[disambiguation needed]","British Columbia",Canada
7468,YZC,"Beatton River Airport","Beatton River","British Columbia",Canada
7469,ZSF,"Springfield Union Station",Springfield,Massachusetts,"United States"
7470,AYR,"Ayr Airport",Ayr,Queensland,Australia
